You entered a buffer length of 4,,,,,,,,,,,,,,,,,,,,
x,y,z,,,,,,,,,,,x_m1_100,x_m1_20,,y_m2_100,y_m2_20,,z_m3_100,z_m3_20
-0.007142,-0.006287,-0.007142,-0.006836,0.989257,0.991699,0.989257,0.990875,0.218702,0.222121,0.218702,0.21971,,-0.007142,-0.10456,,0.994873,0.992431,,0.074162,0.083196
-0.008729,-0.006287,-0.008729,-0.007264,0.990234,0.991699,0.989257,0.990509,0.220167,0.220167,0.218702,0.219221,,-0.008729,-0.09516,,0.995727,0.992919,,0.071843,0.081731
-0.007508,-0.006897,-0.008729,-0.007569,0.991455,0.991699,0.989257,0.990661,0.218946,0.220167,0.218702,0.219251,,-0.007508,-0.084661,,0.99414,0.998291,,0.071721,0.0799
-0.006775,-0.006775,-0.008729,-0.007539,0.993164,0.993164,0.989257,0.991027,0.218824,0.220167,0.218702,0.21916,,-0.006775,-0.072575,,0.993286,0.998901,,0.070988,0.078923
-0.007508,-0.006775,-0.008729,-0.00763,0.993286,0.993286,0.990234,0.992035,0.222243,0.222243,0.218824,0.220045,,-0.007508,-0.063664,,0.993896,0.999634,,0.071477,0.077947
-0.00763,-0.006775,-0.00763,-0.007355,0.988036,0.993286,0.988036,0.991485,0.216505,0.222243,0.216505,0.219129,,-0.00763,-0.050357,,0.993286,1.000244,,0.073308,0.080876
-0.00763,-0.006775,-0.00763,-0.007386,0.989379,0.993286,0.988036,0.990966,0.217481,0.222243,0.216505,0.218763,,-0.00763,-0.047061,,0.993652,0.999634,,0.07343,0.084051
-0.005799,-0.005799,-0.00763,-0.007142,0.989745,0.993286,0.988036,0.990112,0.218214,0.222243,0.216505,0.218611,,-0.005799,-0.041934,,0.996094,0.995971,,0.072087,0.084417
-0.008484,-0.005799,-0.008484,-0.007386,0.987914,0.989745,0.987914,0.988769,0.218092,0.218214,0.216505,0.217573,,-0.008484,-0.03937,,0.999023,0.99353,,0.069645,0.092108
-0.006287,-0.005799,-0.008484,-0.00705,0.993042,0.993042,0.987914,0.99002,0.221876,0.221876,0.217481,0.218916,,-0.006287,-0.040347,,0.999512,0.991577,,0.066471,0.094305
-0.005921,-0.005799,-0.008484,-0.006623,0.993408,0.993408,0.987914,0.991027,0.220778,0.221876,0.218092,0.21974,,-0.005921,-0.047793,,0.998413,0.988891,,0.068058,0.096502
-0.007142,-0.005921,-0.008484,-0.006958,0.993164,0.993408,0.987914,0.991882,0.218336,0.221876,0.218092,0.219771,,-0.007142,-0.059757,,0.998169,0.989013,,0.065617,0.097479
0.010926,0.010926,-0.007142,-0.002106,0.97827,0.993408,0.97827,0.989471,0.211744,0.221876,0.211744,0.218183,,0.010926,-0.073308,,0.998291,0.990112,,0.065739,0.08576
-0.007508,0.010926,-0.007508,-0.002411,0.991577,0.993408,0.97827,0.989105,0.220045,0.220778,0.211744,0.217726,,-0.007508,-0.087347,,1.001343,0.991088,,0.050845,0.093695
-0.006043,0.010926,-0.007508,-0.002442,0.990478,0.993164,0.97827,0.988372,0.219923,0.220045,0.211744,0.217512,,-0.006043,-0.096502,,1.003052,0.997558,,0.063786,0.121284
-0.005432,0.010926,-0.007508,-0.002014,0.990356,0.991577,0.97827,0.98767,0.220289,0.220289,0.211744,0.218,,-0.005432,-0.122627,,1.009522,0.980101,,0.059513,0.15217
-0.007752,-0.005432,-0.007752,-0.006684,0.992919,0.992919,0.990356,0.991333,0.220411,0.220411,0.219923,0.220167,,-0.007752,-0.141915,,1.031496,1.009278,,0.06757,0.196484
-0.009827,-0.005432,-0.009827,-0.007264,0.991333,0.992919,0.990356,0.991271,0.220778,0.220778,0.219923,0.22035,,-0.009827,-0.144723,,1.033205,1.020387,,0.041201,0.184765
0.002869,0.002869,-0.009827,-0.005036,1.02173,1.02173,0.990356,0.999084,0.228224,0.228224,0.220289,0.222425,,0.002869,-0.11164,,1.04761,1.009766,,0.041201,0.122627
-0.029482,0.002869,-0.029482,-0.011048,0.994873,1.02173,0.991333,1.000214,0.179515,0.228224,0.179515,0.212232,,-0.029482,-0.115913,,1.050174,1.003906,,0.066105,0.108588
-0.003113,0.002869,-0.029482,-0.009888,0.987426,1.02173,0.987426,0.998841,0.218702,0.228224,0.179515,0.211805,,-0.003113,-0.121895,,1.036989,1.010865,,0.054752,0.087225
-0.002503,0.002869,-0.029482,-0.008057,0.99121,1.02173,0.987426,0.99881,0.221022,0.228224,0.179515,0.211866,,-0.002503,-0.172923,,1.007081,1.004517,,0.047671,0.064762
-0.005921,-0.002503,-0.029482,-0.010255,0.990356,0.994873,0.987426,0.990966,0.217726,0.221022,0.179515,0.209241,,-0.005921,-0.128853,,0.975218,0.974242,,0.036806,0.09223
-0.006775,-0.002503,-0.006775,-0.004578,0.992553,0.992553,0.987426,0.990386,0.222365,0.222365,0.217726,0.219954,,-0.006775,-0.118965,,0.982299,0.9812,,0.011781,0.109076
-0.010926,-0.002503,-0.010926,-0.006531,0.991088,0.992553,0.990356,0.991302,0.2397,0.2397,0.217726,0.225203,,-0.010926,-0.155344,,1.007935,0.968138,,0.073552,0.149606
-0.062809,-0.005921,-0.062809,-0.021608,0.99121,0.992553,0.990356,0.991302,0.343588,0.343588,0.217726,0.255845,,-0.062809,-0.212965,,1.016114,0.978392,,0.066715,0.185009
-0.047549,-0.006775,-0.062809,-0.032015,0.99353,0.99353,0.991088,0.992095,0.369468,0.369468,0.222365,0.29378,,-0.047549,-0.168895,,1.021241,0.961545,,0.018373,0.164866
0.003113,0.003113,-0.062809,-0.029543,1.003296,1.003296,0.991088,0.994781,0.29085,0.369468,0.2397,0.310901,,0.003113,-0.184032,,1.017946,0.969481,,0.017396,0.094671
